clave_alumno,materias_aprobadas,materias_reprobadas,materias_totales,promedio_calificaciones,desviacion_calificaciones,duracion_estudios,causa_salida,sexo,prepa,prepa_nombre,carrera,ciudad,colonia,carrera_codificada,ciudad_codificada,colonia_codificada
1,6,4,10,50.3,43.815395569239,2,4,1,39.0,COBAES 39(PROFR. JOSE ROMERO ),Industrial,CULIACAN,Villa de Guadalupe,3,61,558
2,10,6,16,55.125,45.070130537493085,3,4,1,39.0,COBAES 39(PROFR. JOSE ROMERO ),Industrial,CULIACAN,Las Mañanitas,3,61,363
4,48,16,64,58.765625,35.17157139685132,13,4,2,36.0,COBAES 36(JOSE C.VALADEZ ROCH),Industrial,CUALIACAN,El Walamo,3,53,190
5,9,1,10,81.9,29.990554068461847,2,4,2,58.0,COBAES 58(ING.HERIBERTO VALDE),Industrial,CULIACAN,Las Granjas,3,61,362
6,56,1,57,85.36842105263158,14.505702793516573,10,5,1,31.0,COBAES 31(PROFRA.IRMA GARMEND),Industrial,"ELDORADO, CLN",FIDEL VELAZQUEZ,3,116,210
7,54,6,60,77.3,27.71177318183295,10,5,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,Fovissste Playa Azul,3,61,263
8,53,5,58,77.27586206896552,25.67187901285795,11,5,2,39.0,COBAES 39(PROFR. JOSE ROMERO ),Industrial,CULIACAN,El Chaleco,3,61,181
9,49,9,58,70.63793103448276,31.625383029848567,10,5,1,39.0,COBAES 39(PROFR. JOSE ROMERO ),Industrial,"CULIACAN, SIN.",Tierra Blanca,3,68,527
10,53,10,63,69.4920634920635,31.47803792296742,10,5,1,4.0,COBAES 4(PROFR. VICTOR M. RUB),Industrial,CULIACAN,Humaya,3,61,286
11,48,10,58,67.1896551724138,32.254175248045634,12,5,1,98.0,COLEGIO SINALOA,Industrial,CULIACAN,Priv Lomas del Bosque,3,61,452
12,54,2,56,83.58928571428571,18.652591129496088,10,5,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Lazaro Cardenas,3,61,365
13,52,8,60,73.91666666666667,30.20342985724043,10,5,1,16.0,COBAES 16(PROFR. CIPRIANO OBE),Industrial,CULIACAN,Tierra Blanca,3,61,527
14,51,8,59,71.22033898305085,29.958631130167717,10,5,1,36.0,COBAES 36(JOSE C.VALADEZ ROCH),Industrial,"CULIACAN,SIN.",Los Angeles,3,72,371
15,55,1,56,85.21428571428571,14.76323971062066,10,5,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,"CULIACAN, SIN.",Centro,3,68,130
16,50,0,50,96.0,5.413512948998978,8,5,2,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,"CULIACAN, SIN.",Miguel Leyson,3,68,395
17,57,1,58,82.63793103448276,15.036444937086607,10,5,1,145.0,Uas (guasave Diurna),Industrial,"CULIACAN, SIN.",Chapultepec,3,68,131
20,53,4,57,78.52631578947368,23.582003779484882,10,5,1,73.0,LICEO COLHUACAN,Industrial,"CULIACAN, SIN.",Ignacio Allende,3,68,304
24,50,8,58,71.89655172413794,30.514126527320876,12,5,1,163.0,UAS PREP. SEMIESCOLARIZADA,Industrial,CULIACAN,Nueva Vizcaya,3,61,415
25,56,4,60,77.88333333333334,23.27295052176884,10,5,2,41.0,COBAES 41(PABLO DE VILLAVICEN),Industrial,"CULIACAN, SIN.",Miguel Hidalgo Y Costilla,3,68,394
26,55,4,59,79.27118644067797,23.42252858083031,10,5,1,9.0,COBAES 9(GRAL. BENJAMIN HILL),Industrial,NAVOLATO,Centro,3,170,130
27,52,7,59,74.59322033898304,29.298180856831006,10,5,2,107.0,C.B.T.I.S. 224,Industrial,"CULIACAN, SIN.",Rafael Buelna,3,68,471
29,54,2,56,80.32142857142857,17.56660793339779,10,5,1,27.0,COBAES 27(LIC.RODOLFO MONJARA),Industrial,CULIACAN,Las Mañanitas,3,61,363
30,52,4,56,82.125,24.907875716874628,10,5,2,73.0,LICEO COLHUACAN,Industrial,"CULIACAN,SIN",Las Mañanitas,3,70,363
34,50,6,56,74.25,27.220480257602837,10,5,1,9.0,COBAES 9(GRAL. BENJAMIN HILL),Industrial,"NAVOLATO, SIN.",Antonio Yamaguchi,3,172,66
36,51,7,58,74.34482758620689,29.413299130822196,10,5,1,40.0,COBAES 40(LIC.CLEMENTE VIZCAR),Industrial,CULIACAN,Los Angeles,3,61,371
37,57,2,59,83.01694915254237,18.31100246358751,10,5,1,17.0,COBAES 17(PROFR. GABRIEL LEYV),Industrial,"CULIACAN,SIN.",Los Angeles,3,72,371
39,52,1,53,88.71698113207547,15.737482643102261,10,5,2,9.0,COBAES 9(GRAL. BENJAMIN HILL),Industrial,NAVOLATO,Alfonso G Calderon,3,170,55
40,20,3,23,75.30434782608695,31.74963819780786,4,4,1,49.0,COBAES 49(GRAL.TEOFILO ALVARE),Industrial,"AGUARUTO,CLN",Miguel Hidalgo Y Costilla,3,8,394
43,55,3,58,81.29310344827586,21.125364002419573,10,5,1,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,"CULIACAN, SIN.",4 de Marzo,3,68,9
44,52,6,58,79.86206896551724,29.2493504356497,13,5,1,208.0,INSTITUTO TECNOLÓGICO DE CULIACÁN,Industrial,"CULIACAN, SIN.",Revolucion Mexicana,3,68,476
45,50,9,59,68.2542372881356,30.30511122267307,11,5,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Industrial,CULIACAN,Primavera,3,61,451
46,11,1,12,81.5,27.59940710825638,2,4,2,56.0,COBAES 56(GRAL. MACARIO GAXIO),Industrial,"CULIACAN, SIN.",Valle Verde,3,68,551
47,54,2,56,86.08928571428571,18.826747689694805,10,5,1,125.0,UAS (8 DE JULIO EL TAMARINDO),Industrial,"CULIACAN, SIN.",Los Angeles,3,68,371
50,41,13,54,61.7037037037037,36.18538724643835,12,5,1,39.0,COBAES 39(PROFR. JOSE ROMERO ),Industrial,CULIACAN,La Higueras,3,61,354
51,38,16,54,58.333333333333336,39.04714132024288,10,4,1,97.0,INSTITUTO AMERICA,Industrial,"CULIACAN, SIN.",Bugambilias,3,68,103
52,46,16,62,61.91935483870968,37.90553330735035,15,5,1,98.0,COLEGIO SINALOA,Industrial,"CULIACAN, SIN.",La Higueras,3,68,354
54,56,4,60,80.65,23.784217099809013,10,5,2,30.0,COBAES 30(ING. JUAN DE DIOS B),Industrial,CULIACAN,Los Angeles,3,61,371
55,49,7,56,75.92857142857143,30.68660183968783,10,5,1,17.0,COBAES 17(PROFR. GABRIEL LEYV),Industrial,"CULIACAN, SIN.",Los Angeles,3,68,371
57,52,0,52,88.48076923076923,8.360716698370258,10,5,2,39.0,COBAES 39(PROFR. JOSE ROMERO ),Industrial,"CULIACAN, SIN.",La Higueras,3,68,354
58,12,4,16,63.875,38.939054944875075,3,4,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Industrial,"CULIACAN,SIN.",Industrial Bravo,3,72,306
59,44,11,55,66.8,34.98698170589868,12,5,1,53.0,COBAES 53(PROFRA. FCA. LOPEZ ),Industrial,COSTA RICA.CLN,Centro,3,49,130
60,54,3,57,81.73684210526316,21.691445249048783,10,5,1,121.0,UAS (EMILIANO ZAPATA),Industrial,"CULIACAN, SIN.",Stase,3,68,521
61,57,1,58,90.15517241379311,14.442629060537364,10,5,1,162.0,INST. CULTURAL DE OCCIDENTE,Industrial,"CULIACAN, SIN.",Guadalupe,3,68,275
63,57,1,58,90.48275862068965,14.211733945236507,10,5,1,9.0,COBAES 9(GRAL. BENJAMIN HILL),Industrial,"NAVOLATO, SIN.",Aurora,3,172,69
64,56,4,60,82.86666666666666,24.089147051104103,10,5,2,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,CULIACAN,La Higueras,3,61,354
65,54,5,59,77.15254237288136,25.279686242680025,10,5,2,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,CULIACAN,La Higueras,3,61,354
67,52,4,56,79.23214285714286,24.2577006115798,11,5,2,9.0,COBAES 9(GRAL. BENJAMIN HILL),Industrial,"NAVOLATO,SIN.",Alcanfores,3,174,54
68,51,5,56,76.625,25.953498625601352,11,5,2,121.0,UAS (EMILIANO ZAPATA),Industrial,"CULIACAN, SIN.",Lazaro Cardenas,3,68,365
69,51,8,59,71.55932203389831,30.13605423823229,10,5,2,3.0,COBAES 3(PROFRA. VELINA LEON ),Industrial,"CULIACAN, SIN.",Diamante,3,68,154
70,18,0,18,93.94444444444444,6.557189338896947,3,4,1,7.0,COBAES 7(GRAÑ. PABLO MACIAS V),Industrial,"CULIACAN, SIN.",San Rafael,3,68,513
71,52,4,56,79.64285714285714,24.103133384708286,10,5,1,27.0,COBAES 27(LIC.RODOLFO MONJARA),Industrial,"CULIACAN, SIN.",La Higueras,3,68,354
74,50,14,64,62.453125,34.211726239720605,13,5,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Industrial,CULIACAN,Loma Linda,3,61,368
75,51,8,59,74.67796610169492,31.16332984176141,10,5,1,107.0,C.B.T.I.S. 224,Industrial,"CULIACAN, SIN.",Genaro Estrada,3,68,272
76,51,8,59,71.08474576271186,29.866535381763164,12,5,1,190.0,PREPARATORIA ABIERTA (SEP),Industrial,"CULIACAN, SIN.",L.TOLEDANO,3,68,336
78,50,10,60,67.26666666666667,31.764422410512147,11,5,1,98.0,COLEGIO SINALOA,Industrial,CULIACAN,Guadalupe,3,61,275
79,54,1,55,82.45454545454545,14.909378333437054,10,5,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,Las Granjas,3,61,362
80,55,6,61,75.77049180327869,27.424073027556737,10,5,1,30.0,COBAES 30(ING. JUAN DE DIOS B),Industrial,CULIACAN,Guadalupe,3,61,275
82,54,9,63,72.3015873015873,30.858488099101944,10,5,2,77.0,COLEGIO DEL VALLE A.C.,Industrial,"CULIACAN, SIN.",La Higueras,3,68,354
84,50,7,57,73.87719298245614,29.134583141639297,11,5,1,120.0,UAS (CENTRAL NOCTURNA),Industrial,"CULIACAN, SIN.",Centro,3,68,130
85,58,2,60,83.15,18.288483919335597,10,5,2,24.0,COBAES 24(GRAL. EMILIANO ZAPA),Industrial,CULIACAN,Los Angeles,3,61,371
86,50,10,60,69.28333333333333,32.72903218890835,11,5,2,5.0,COBAES 5(PROFRA. FCA. GUERRER),Industrial,"CULIACAN, SIN.",La Sirena,3,68,356
87,55,0,55,90.98181818181818,7.648507259567928,10,5,2,24.0,COBAES 24(GRAL. EMILIANO ZAPA),Industrial,"CULIACAN, SIN.",Villa de Guadalupe,3,68,558
88,47,7,54,74.74074074074075,30.685369376635716,10,4,2,95.0,COBAC,Industrial,CULIACAN,Centro,3,61,130
90,55,0,55,87.01818181818182,9.91910037193657,10,5,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,"CULIACAN, SIN.",Las Granjas,3,68,362
92,54,7,61,75.50819672131148,28.874223193487335,10,5,1,107.0,C.B.T.I.S. 224,Industrial,"CULIACAN, SIN.",Rafael Buelna,3,68,471
93,50,11,61,67.8688524590164,32.99922999598428,13,5,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Los Angeles,3,61,371
94,53,2,55,84.49090909090908,18.58002982821902,9,5,2,23.0,COBAES 23(PROFRA.MA.T. DORAME),Industrial,"CULIACAN, SIN.",Fincas del Humaya,3,68,258
95,54,7,61,73.80327868852459,28.142979984436113,10,5,1,107.0,C.B.T.I.S. 224,Industrial,"CULIACAN, SIN.",4 de Marzo,3,68,9
96,45,16,61,61.81967213114754,38.26029630340105,11,5,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Industrial,"CULIACAN, SIN.",El Venadillo,3,68,189
97,53,7,60,71.38333333333334,27.794092572359755,12,5,1,14.0,COBAES 14(PROFRA.IGNACIA ARRA),Industrial,"COSTA RICA, CLN",Popular,3,43,447
99,51,9,60,70.55,31.154304324861783,10,5,2,14.0,COBAES 14(PROFRA.IGNACIA ARRA),Industrial,CULIACAN,Tierra Blanca,3,61,527
101,55,2,57,80.85964912280701,18.74208270604954,10,5,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Industrial,CULIACAN,Humaya,3,61,286
102,47,7,54,70.18518518518519,29.265907832934445,10,5,2,77.0,COLEGIO DEL VALLE A.C.,Industrial,"CULIACAN,SIN.",Popular,3,72,447
104,52,7,59,75.54237288135593,29.372942060795303,10,5,1,190.0,PREPARATORIA ABIERTA (SEP),Industrial,CULIACAN,Margaritas,3,61,389
105,5,6,11,40.81818181818182,47.15255705010743,2,4,2,24.0,COBAES 24(GRAL. EMILIANO ZAPA),Industrial,CULIACAN,ROSALES,3,61,469
111,55,4,59,78.89830508474576,23.828912397406,10,5,1,27.0,COBAES 27(LIC.RODOLFO MONJARA),Industrial,CULIACAN,Industrial Bravo,3,61,306
112,56,0,56,90.28571428571429,9.068856369143566,10,5,2,16.0,COBAES 16(PROFR. CIPRIANO OBE),Industrial,"CULIACAN, SIN.",Villa Satelite,3,68,556
113,56,3,59,76.37288135593221,19.57117717556624,10,5,1,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,"CULIACAN, SIN.",ROSALES,3,68,469
114,53,4,57,79.71929824561404,23.790570150170332,10,5,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Campestre,3,61,123
116,50,5,55,75.0,25.860738152221753,10,5,1,16.0,COBAES 16(PROFR. CIPRIANO OBE),Industrial,"CULIACAN, SIN.",Vicente Guerrero,3,68,553
117,15,8,23,56.08695652173913,43.01259122573957,4,4,1,23.0,COBAES 23(PROFRA.MA.T. DORAME),Industrial,"CULIACAN,SIN.",La Higueras,3,72,354
118,54,6,60,77.76666666666667,27.65548749706946,10,5,1,107.0,C.B.T.I.S. 224,Industrial,"CULIACAN,SIN",Libertad,3,70,367
